施打站縣市,施打站全稱,施打站行政區,施打站地址,預約電話,施打站經度,施打站緯度
屏東縣,屏東縣立體育館(屏東市),屏東市,900台灣屏東縣屏東市勝利路9號,08 736 2589,120.4937347,22.6774918
屏東縣,萬丹國中活動中心(萬丹衛生所站),萬丹鄉,913台灣屏東縣萬丹鄉萬丹路一段501號,08 777 2049,120.4884536,22.596841
屏東縣,潮州高中中興堂(潮州衛生所站),潮州鎮,920台灣屏東縣潮州鎮中山路11號,08 788 2017,120.5452894,22.5495485
屏東縣,新園國中體育館(新園衛生所站),新園鄉,932台灣屏東縣新園鄉仙吉村仙吉路111號,08 868 1020,120.4613993,22.5452661
屏東縣,東港靜思堂(東港衛生所站),東港鎮,928台灣屏東縣東港鎮,08 832 5310,120.4634753,22.471462
屏東縣,大同高中(未開放),中山區,10485台灣台北市中山區長春路167號,02 2505 4269,120.477654,22.678426
屏東縣,里港國小(里港衛生所),里港鄉,905台灣屏東縣里港鄉,08 775 1711,120.494283,22.780715
屏東縣,佳冬國中(佳冬衛生所),佳冬鄉,931台灣屏東縣佳冬鄉佳和路87-1號,08 866 2018,120.5667866,22.4288311
屏東縣,枋寮高中(枋寮、枋山衛生所),枋寮鄉,940台灣屏東縣枋寮鄉,08 878 2940,120.5903571,22.3706155
屏東縣,恆春國中,恆春鎮,946台灣屏東縣恆春鎮文化路79號,08 889 2039,120.7478236,22.0015703
屏東縣,中正國中(未開放),中正區,100台灣台北市中正區愛國東路158號,02 2391 6697,120.5096318,22.6730776
屏東縣,公正國中(未開放),屏東市,900台灣屏東縣屏東市公興路11號,08 752 2097,120.4841386,22.6407895
屏東縣,屏北高中(未開放),鹽埔鄉,907台灣屏東縣鹽埔鄉莒光路168 號,08 793 7493,120.543578,22.759382
屏東縣,恆春工商(未開放),恆春鎮,946台灣屏東縣恆春鎮恆南路38號恆春市,08 889 2010,120.746917,21.992609
屏東縣,長興國小彩虹館(長治衛生所站),長治鄉,908台灣屏東縣長治鄉,08 736 8734,120.526139,22.6770664
屏東縣,內埔國小體育館(內埔衛生所站),內埔鄉,912台灣屏東縣內埔鄉中興路191號912,08 779 2414,120.5656377,22.610098
屏東縣,車城福安宮香客大樓(車城衛生所),車城鄉,944台灣屏東縣車城鄉福安路2之30號,08 882 1300,120.710622,22.0697853
