施打站縣市,施打站全稱,施打站行政區,施打站地址,預約電話
花蓮縣,佛教慈濟醫療財團法人花蓮慈濟醫院,花蓮市,花蓮市中央路三段707號,03-8578600
花蓮縣,臺灣基督教門諾會醫療財團法人門諾醫院,花蓮市,花蓮市民權路44號,03-8241409
花蓮縣,衛生福利部花蓮醫院,花蓮市,花蓮市中正路600號,03-8358141＃1231、1232、1226
花蓮縣,國軍花蓮總醫院,新城鄉,花蓮縣新城鄉嘉里路163號,03-8263151#815100
花蓮縣,門諾醫院壽豐分院,壽豐鄉,花蓮縣壽豐鄉共和村魚池52號,03-8664600＃2311
花蓮縣,臺北榮民總醫院鳳林分院,鳳林鎮,花蓮縣鳳林鎮中正路一段2號,03-8764539分機327 醫企室鄭小姐
花蓮縣,臺北榮民總醫院玉里分院,玉里鎮,花蓮縣玉里鎮新興街91號,03-8883141＃301
花蓮縣,玉里慈濟醫院,玉里鎮,花蓮縣玉里鎮民權街1-1號,03-8882718分機9
花蓮縣,衛生福利部玉里醫院,玉里鎮,花蓮縣玉里鎮中華路448號,03-8886141#1165
花蓮縣,衛生福利部花蓮醫院豐濱原住民分院,豐濱鄉,花蓮縣豐濱鄉光豐路41號,03-8791385分機107
花蓮縣,秀林鄉衛生所,秀林鄉,花蓮縣秀林鄉秀林村秀林路88號,03-8612122轉217
花蓮縣,新城鄉衛生所,新城鄉,花蓮縣新城鄉北埔村北埔路160號,03-8266781＃306
花蓮縣,花蓮市衛生所,花蓮市,花蓮市新興路200號,03-8230232分機208
花蓮縣,吉安鄉衛生所,吉安鄉,花蓮縣吉安鄉吉安村吉安路二段132號,03-8521113
花蓮縣,壽豐鄉衛生所,壽豐鄉,壽豐鄉壽豐村公園路28巷10號,（03）8652101-2分機222
花蓮縣,鳳林鎮衛生所,鳳林鎮,花蓮縣鳳林鎮公正街8-1號,03-8761116-7
花蓮縣,萬榮鄉衛生所,萬榮鄉,花蓮縣萬榮鄉萬榮村1鄰16號,03-8751651～2 陳姿蓉護理師
花蓮縣,光復鄉衛生所,光復鄉,花蓮縣光復鄉大馬村中學街158號,03-8701114
花蓮縣,瑞穗鄉衛生所,瑞穗鄉,花蓮縣瑞穗鄉民生街75號,03-8872045分機25
花蓮縣,玉里鎮衛生所,玉里鎮,花蓮縣玉里鎮中正路152號,03-8882046分機21
花蓮縣,富里鄉衛生所,富里鄉,花蓮縣富里鄉中山路203號,03-8831029
花蓮縣,卓溪鄉衛生所,卓溪鄉,花蓮縣卓溪鄉卓溪村中正65號,03-8882592
