施打站縣市,施打站全稱,施打站行政區,施打站地址,預約電話
台南市,衛生福利部新營醫院,新營區,73042臺南市新營區信義街73號,06-6328832
台南市,奇美醫療財團法人佳里奇美醫院,佳里區,72263臺南市佳里區佳興里佳里興606號,06-7263333
台南市,奇美醫療財團法人奇美醫院,永康區,71004臺南市永康區中華路901號,06-2812811
台南市,臺南市立安南醫院-委託中國醫藥大學興建經營,安南區,709臺南市安南區州南里12鄰長和路二段66號,06-3553111
台南市,國立成功大學醫學院附設醫院,北區,704臺南市北區勝利路138號,06-2353535
台南市,台南市立醫院(委託秀傳醫療社團法人經營),東區,701臺南市東區崇德路670號,06-2609926
台南市,郭綜合醫院,中西區,70054臺南市中西區民生路二段22號,06-2221111
台南市,新興醫療社團法人新興醫院,新營區,台南市新營區中興路10號,06-6330011#308
台南市,營新醫院,新營區,台南市新營區隋唐街228號,06-6592345#832
台南市,吉安醫療社團法人吉安醫院,關廟區,台南市關廟區中正路435號 ,06-6025115
台南市,璟馨婦幼醫院,永康區,台南市永康區東橋七路198號,06-3023366
台南市,晉生醫療社團法人晉生慢性醫院,永康區,台南市永康區中山南路902巷7號,06-2330003#12
台南市,仁愛醫療社團法人仁愛醫院,東區,台南市東區北門路一段10號,06-2213111
台南市,陳澤彥婦產科醫院,北區,台南市北區中華北路二段101號 ,06-3505000
台南市,志誠醫院,北區,台南市北區公園路315-1號,06-2210423
台南市,大安婦幼醫院,中西區,台南市中西區金華路三段167號,06-2278899#889
台南市,永和醫院,中西區,台南市中西區府前路一段304巷2號,06-2231191
台南市,新生醫院,佳里區,台南市佳里區新生路272號,06-7223122
台南市,永川醫院,中西區,台南市中西區成功路169號,06-2234055
台南市,奇美醫療財團法人柳營奇美醫院,柳營區,73657臺南市柳營區太康里太康201號,06-6226999
台南市,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,麻豆區,72152臺南市麻豆區埤頭里苓子林20號,06-5702228
台南市,高雄榮民總醫院臺南分院,永康區,71051臺南市永康區復興路427號,06-3124790
台南市,台灣基督長老教會新樓醫療財團法人台南新樓醫院,東區,70142臺南市東區東門路一段57號,06-2748316
台南市,衛生福利部臺南醫院,中西區,700臺南市中西區中山路125號,06-2200055
台南市,衛生福利部胸腔病院,仁德區,71742台南市仁德區中山路864號,06-2705911
台南市,臺南市東區衛生所,東區,臺南市東區龍山里林森路1段418號,06-2673613
台南市,臺南市南區衛生所,南區,臺南市南區南都里南和路6號,06-2618578
台南市,臺南市中西區衛生所,中西區,臺南市中西區淺草里環河街94號Ｂ1～3樓,06-2252403
台南市,臺南巿北區衛生所,北區,臺南市北區公園里西華街50號,06-2252404
台南市,臺南市安南區衛生所,安南區,臺南市安南區仁安路70號2樓,06-2567406
台南市,臺南市安平區衛生所,安平區,臺南市安平區平通里育平路310號,06-2996885
台南市,臺南市新營區衛生所,新營區,臺南市新營區大宏里三民路72號,06-6329421
台南市,臺南市鹽水區衛生所,鹽水區,臺南市鹽水區武廟路1號,06-6521041
台南市,臺南市白河區衛生所,白河區,臺南市白河區永安里國光路5號,06-6852014
台南市,臺南市麻豆區衛生所,麻豆區,臺南市麻豆區巷口里興國路11一1號,06-5722215
台南市,臺南市佳里區衛生所,佳里區,臺南市佳里區東寧里進學路159號,06-7224106
台南市,臺南市新化區衛生所,新化區,臺南市新化區健康路十三鄰143號,06-5905398
台南市,臺南市善化區衛生所,善化區,臺南市善化區光文里中山路200號,06-5837035
台南市,臺南市學甲區衛生所,學甲區,臺南市學甲區仁得里建國路38號1樓,06-7833359
台南市,臺南市柳營區衛生所,柳營區,臺南市柳營區士林里54之5號,06-6220464
台南市,臺南市後壁區衛生所,後壁區,臺南市後壁區後壁里3號,06-6872624
台南市,臺南市東山區衛生所,東山區,臺南市東山區東山里236號1樓,06-6802618
台南市,臺南市下營區衛生所,下營區,臺南市下營區營前里中山路二段137號,06-6892149
台南市,台南市六甲區衛生所,六甲區,臺南市六甲區二甲里26鄰中華路110號,06-6982013
台南市,臺南市官田區衛生所,官田區,臺南市官田區隆田里中山路一段128號,06-5791493
台南市,臺南市大內區衛生所,大內區,臺南市大內區大內里2號,06-5761044
台南市,臺南市西港區衛生所,西港區,臺南市西港區西港里中山路368號,06-7952338
台南市,臺南市七股區衛生所,七股區,臺南市七股區大埕里379號,06-7872277
台南市,臺南市將軍區衛生所,將軍區,臺南市將軍區忠興里185－6號,06-7942007
台南市,臺南市北門區衛生所,北門區,臺南市北門區北門里港北50號,06-7862043
台南市,台南市新市區衛生所,新市區,臺南市新市區新市里中興街12號,06-5992504
台南市,臺南市安定區衛生所,安定區,臺南市安定區安定里59－1號,06-5922022
台南市,臺南市山上區衛生所,山上區,臺南市山上區山上里35－2號,06-5781013
台南市,臺南市玉井區衛生所,玉井區,臺南市玉井區玉田里中正路5號,06-5742275
台南市,臺南市楠西區衛生所,楠西區,臺南市楠西區楠西里中正路226號,06-5751006
台南市,臺南市南化區衛生所,南化區,臺南市南化區南化里226－1號,06-5771139
台南市,臺南市左鎮區衛生所,左鎮區,臺南市左鎮區中正里172之15號,06-5731114
台南市,台南市仁德區衛生所,仁德區,臺南市仁德區仁德里中山路606巷2號,06-2704153
台南市,台南市歸仁區衛生所,歸仁區,臺南市歸仁區中正北路1段1號,06-2304030
台南市,台南市關廟區衛生所,關廟區,臺南市關廟區山西里中正路1000號,06-5952395
台南市,臺南市龍崎區衛生所,龍崎區,臺南市龍崎區崎頂里新市子158號,06-5941397
台南市,臺南市永康區衛生所,永康區,臺南市永康區永康里文化路51號,06-2326507
台南市,晨祐診所,下營區,台南市下營區中正南路55號,06-6892525
台南市,佳順診所,下營區,台南市下營區中正北路18號1樓,06-6891055
台南市,許獻帆診所,山上區,台南市山上區南洲里130-3號,06-5782015
台南市,陳俊達小兒科診所,中西區,台南市中西區中山路21號,06-2221867
台南市,呂宗禧耳鼻喉科診所,中西區,台南市中西區民權路一段261號,06-2282155
台南市,李朝泰小兒科診所,中西區,台南市中西區成功路319號,06-2256618
台南市,小天使婦兒診所,中西區,台南市中西區府前一街9巷14號,06-2930888
台南市,紀冠廷診所,中西區,台南市中西區青年路119號,06-2263931
台南市,康健內兒科診所,中西區,台南市中西區健康路一段176號,06-2146929
台南市,湖美耳鼻喉科診所,中西區,台南市中西區湖美街215巷9號,06-2801561
台南市,張永昌小兒科,中西區,台南市中西區新美街66-1號,06-2292360
台南市,蘇文彬婦產科診所,中西區,台南市中西區西門路一段670號,06-2155155
台南市,郭重德診所,中西區,台南市中西區民生路一段90號,06-2262953
台南市,康田診所,中西區,台南市中西區成功路443號,06-2273570
台南市,光明內科診所,中西區,台南市中西區府前路一段80號,06-2245555
台南市,郭宗男婦產科診所,中西區,台南市中西區金華路三段124號,06-2295230
台南市,廖健良診所,中西區,台南市中西區民生路一段30號,06-2252983
台南市,崇仁內科診所,仁德區,台南市仁德區中山路515號,06-2793311
台南市,德南家醫科診所,仁德區,台南市仁德區中正路二段464號,06-2798071
台南市,吳長芳小兒科診所,仁德區,台南市仁德區中正路二段795號,06-2797929
台南市,協和家醫科診所,仁德區,台南市仁德區中正路三段79號,06-2701507
台南市,成渼聯合診所,仁德區,台南市仁德區中正路二段316號,06-2702555
台南市,嘉大診所,仁德區,台南市仁德區中正路一段179號,06-2668716
台南市,三華診所,仁德區,台南市仁德區太子路142號,06-2731826
台南市,慈安診所,仁德區,台南市仁德區太子路352-1號,06-2739003
台南市,賴冠維診所,六甲區,台南市六甲區復興街55號,06-6990990
台南市,蓋德診所,六甲區,台南市六甲區中正路178號,06-6986777
台南市,陳耳鼻喉科診所,六甲區,台南市六甲區珊瑚路26號,06-6993986
台南市,民生診所,六甲區,台南市六甲區中正路531號,06-6986015
台南市,甲和診所,六甲區,台南市六甲區建國街74號,06-6991393
台南市,泰和診所,六甲區,台南市六甲區中山路103號,06-6989595
台南市,寶貝小兒科診所,北區,台南市北區小東路365號1樓,06-2003300
台南市,張金石小兒科診所,北區,台南市北區公園路191號,06-2216695
台南市,陳文峯耳鼻喉科診所,北區,台南市北區公園路703號,06-2833398
台南市,劉伊薰小兒科診所,北區,台南市北區北安路一段259號1樓,06-2832111
台南市,幼之園小兒科診所,北區,台南市北區忠義路三段24號,06-2213434
台南市,海安小兒科診所,北區,台南市北區海安路三段761號,06-3589696
台南市,楊宏義小兒科診所,北區,台南市北區開元路426號,06-2742678
台南市,王克生小兒科診所,北區,台南市北區開元路479號,06-2362201
台南市,王界三小兒科診所,北區,台南市北區文賢路1068號,06-3583770
台南市,安安婦幼診所,北區,台南市北區開元路286號,06-2091666
台南市,蘇耳鼻喉科診所,北區,台南市北區文賢路263號,06-3507711
台南市,史地分小兒科診所,永康區,台南市永康區大橋一街57號,06-3039099
台南市,林君郁耳鼻喉科診所,永康區,台南市永康區大灣路176號,06-2051351
台南市,丞康小兒科診所,永康區,台南市永康區中山北路30號,06-2332400
台南市,富儿康診所,永康區,台南市永康區中山路55號,06-2318600
台南市,健康超人兒科診所,永康區,台南市永康區中華路13號,06-3122598
台南市,蔡尚均小兒科診所,永康區,台南市永康區中華路675-1號,06-3020188
台南市,德安小兒科診所,永康區,台南市永康區永大路二段1538號,06-2032000
台南市,楊寧娟內科診所,永康區,台南市永康區大灣路798巷12號,06-2734142
台南市,鄭耳鼻喉科診所 ,永康區,台南市永康區大灣路798巷12號,06-2721231
台南市,隆安小兒科診所,永康區,台南市永康區中華二路191號2樓,06-3131685
台南市,侯嘉修內科診所,永康區,台南市永康區中山南路33號,06-2027111
台南市,許崇哲耳鼻喉科診所,永康區,台南市永康區中山南路126號,06-2314815
台南市,許進賢耳鼻喉科診所,永康區,台南市永康區民族路376號,06-2724321
台南市,永德康內科診所,永康區,台南市永康區中山路118號,06-2032258
台南市,顏大翔內科診所,永康區,台南市永康區大灣路868號,06-2730320
台南市,成美診所,永康區,台南市永康區中華路393號,06-3039028
台南市,永佳診所,永康區,台南市永康區永大路二段195號,06-2719595
