施打站縣市,施打站全稱,施打站行政區,施打站地址,預約電話,施打站經度,施打站緯度
新北市,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,板橋區,新北市板橋區南雅南路二段21號,02-77382525,121.4529059,24.9971306
新北市,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,中山區,新北市淡水區民生里民生路45號,02-28094661,121.5223675,25.0588322
新北市,新泰綜合醫院,新莊區,新北市新莊區新樹路176號,02-2996212分機1001,121.4343264,25.0214551
新北市,仁愛醫院,樹林區,新北市樹林區文化街9號,02-26834567分機2902,121.420057,24.987163
新北市,蕭中正醫院,板橋區,新北市板橋區南雅南路一段15之1號,02-29685661,121.4564325,25.0068854
新北市,同仁醫院,新店區,新北市新店區民權路89號,02-29170201,121.5377778,24.9827778
新北市,豐榮醫院,新店區,新北市新店區安德街26巷3號,02-22122111分機1101,121.511364,24.9632775
新北市,瑞芳礦工醫院,瑞芳區,新北市瑞芳區一坑路71之2號,02-24974101分機102,121.8021627,25.10860139999999
新北市,廣川醫院,土城區,新北市土城區裕民路276號,02-22617000,121.454888,24.982216
新北市,衛生福利部樂生療養院,龜山區,新北市新莊區中正路794號,02-82006600分機2179,121.4083918,25.0226316
新北市,國立臺灣大學醫學院附設醫院金山分院,金山區,新北市金山區五湖里玉爐路7號,02-24989898分機9,121.628399,25.2195534
新北市,天主教耕莘醫療財團法人永和耕莘醫院,永和區,新北市永和區中興街80號,02-29286060分機20116或10133,121.5179369,25.0118232
新北市,輔仁大學學校財團法人輔仁大學附設醫院,新莊區,新北市泰山區貴子路69號,02-85128800,121.4323211,25.0362418
新北市,新北市立聯合醫院,三重區,新北市三重區新北大道1段3號,02-29829111分機3327,121.4905671,25.0607382
新北市,衛生福利部臺北醫院,新莊區,新北市新莊區思源路127號,02-29966795、02-22760441(電話預約)02-22765566分機2655(接種諮詢),121.4588889,25.0429643
新北市,佛教慈濟醫療財團法人台北慈濟醫院,新店區,新北市新店區建國路289號,02-66289800,121.5352341,24.9860544
新北市,行天宮醫療志業醫療財團法人恩主公醫院,三峽區,新北市三峽區復興路399號,02-26723456分機7129(電話預約)02-26723456分機7104(接種諮詢),121.3629978,24.9383659
新北市,國泰醫療財團法人汐止國泰綜合醫院,汐止區,新北市汐止區建成路59巷2號,02-26482121分機7056,121.6611849,25.0726989
新北市,天主教耕莘醫療財團法人耕莘醫院,新店區,新北市新店區中正路362號,02-22195028分機 2(電話預約)02-22193391分機66512(接種諮詢),121.5038018,24.9538514
新北市,八里區衛生所,八里區,新北市八里區舊城路16號,02-26102137,121.4000292,25.1470689
新北市,三芝區衛生所,三芝區,新北市三芝區中山路一段12號,02-26362007,121.5005945,25.2583411
新北市,三重區衛生所,三重區,新北市三重區新北大道1段1號,02-29825233,121.491513,25.0611225
新北市,三峽區衛生所,三峽區,新北市三峽區光明路71號3樓,02-26711592,121.3761849,24.9284222
新北市,土城區衛生所,土城區,新北市土城區和平路26號,02-22603181,121.4431739,24.9728567
新北市,中和區衛生所,中和區,新北市中和區南山路4巷3號,02-22491936,121.5016776,24.9986328
新北市,五股區衛生所,五股區,新北市五股區新城三路11號,02-22917717,121.44775,25.0940597
新北市,平溪區衛生所,平溪區,新北市平溪區公園街17號,02-24951015,121.7371846,25.0246709
新北市,永和區衛生所,永和區,新北市永和區秀朗路一段137號1樓,02-32332780,121.5162805,25.004954
新北市,石門區衛生所,石門區,新北市石門區石門里中山路28之1號,02-26381007,121.5658787,25.2900928
新北市,石碇區衛生所,石碇區,新北市石碇區碇坪路一段82號,02-26631325,121.658112,24.991463
新北市,汐止區衛生所,汐止區,新北市汐止區新台五路一段266號,02-26412030,121.6585798,25.0635051
新北市,坪林區衛生所,坪林區,新北市坪林區坪林街104號,02-26656272,121.7115659,24.93585789999999
新北市,板橋區衛生所,板橋區,新北市板橋區英士路192號,02-22586606,121.458209,25.02325189999999
新北市,林口區衛生所,林口區,新北市林口區忠孝二路55號1樓,02-26068760,121.3641707,25.0696537
新北市,金山區衛生所,金山區,新北市金山區中山路257號,02-24984807,121.6368267,25.2221261
新北市,泰山區衛生所,泰山區,新北市泰山區全興路212號3樓,02-29099921,121.4335302,25.0563997
新北市,烏來區衛生所,烏來區,新北市烏來區新烏路五段109號,02-26617200,121.5479943,24.871935
新北市,貢寮區衛生所,貢寮區,新北市貢寮區仁愛路128號,02-24901431,121.9275033,25.055021
新北市,淡水區衛生所,淡水區,新北市淡水區中山路158號,02-26215620,121.440901,25.1727279
新北市,深坑區衛生所,深坑區,新北市深坑區深坑街165號,02-26621567,121.6125718,25.0009135
新北市,新店區衛生所,新店區,新北市新店區北新路一段88號,02-29113984,121.542988,24.967263
新北市,新莊區衛生所,新莊區,新北市新莊區中華路一段2號,02-29967123,121.4523922,25.0363006
新北市,瑞芳區衛生所,瑞芳區,新北市瑞芳區明燈路三段1號,02-24972132,121.8089546,25.1073086
新北市,萬里區衛生所,萬里區,新北市萬里區瑪鋉路157號,02-24921117,121.6899004,25.1783642
新北市,樹林區衛生所,樹林區,新北市樹林區樹新路40-7號1樓,02-26812134,121.428854,24.9963198
新北市,雙溪區衛生所,雙溪區,新北市雙溪區新基南街18號,02-24931210,121.8663007,25.0380061
新北市,蘆洲區衛生所,蘆洲區,新北市蘆洲區中央路58號,02-22812011,121.4732808,25.0840352
新北市,鶯歌區衛生所,鶯歌區,新北市鶯歌區文化路389號,02-26702304,121.352538,24.950582
新北市,衛生福利部雙和醫院(委託臺北醫學大學興建經營),中和區,新北市中和區中正路291號,02-22490088,121.4935872,24.9926232
新北市,瑞芳國小,瑞芳區,瑞芳區中山路2號,,121.8047245,25.1078144
新北市,慈濟板橋園區,板橋區,新北市板橋區大觀路二段265巷15號,,121.4434246,24.9953694
新北市,新北市立土城醫院（委託長庚醫療財團法人興建經營）,土城區,新北市土城區金城路2段6號,02-22630588,121.4487246,24.9761498
新北市,新北市立大觀國民中學體育館,板橋區,板橋區僑中一街1號,,121.4487222,25.0111472
新北市,新北市立板橋高級中學體育館,板橋區,板橋區文化路1段25號,,121.4584769,25.0122663
新北市,新莊綜合體育館,新莊區,新莊區中華路一段75號,,121.4477684,25.0396395
新北市,民安國小體育館(能強館),新莊區,新莊區民安路261號,,121.4277092,25.0223304
新北市,三重綜合體育館,三重區,三重區新北大道一段2號,,121.4914951,25.0617771
新北市,碧華國中,三重區,三重區三信路166號,,121.4889516,25.087378
新北市,慈濟三重靜思堂,三重區,新北市三重區大有里中正北路450號,,121.473801,25.07129
新北市,前國防管理學院中正堂,中和區,中和區嘉新里民安街172號,,121.4766662,25.0000911
新北市,中和國中,中和區,中和區興南路二段3巷17號,,121.5087918,24.9855434
新北市,慈濟雙和靜思堂,中和區,新北市中和區中山路三段41號,,121.477201,25.0049784
新北市,馬公體育館籃球場,新店區,新店區北新路一段92號,,121.542137,24.968774
新北市,公崙市民活動中心,新店區,新店區安康路2段85巷17號,,121.5098257,24.95860859999999
新北市,新店靜思堂,新店區,新北市新店區建國路279號,,121.5361788,24.9846924
新北市,新北市立秀峰高級中學（體育館）,汐止區,汐止區忠孝東路201號,,121.6608704,25.0657829
新北市,新市國小,淡水區,淡水區中山北路二段200號,,121.4446951,25.1864581
新北市,新北高工志清堂,土城區,土城區學府路一段241號,,121.449987,24.9833162
新北市,永平高中大禮堂,永和區,永和區永平路205號,,121.5080058,25.0100383
新北市,蘆洲國中大禮堂,蘆洲區,蘆洲區中原里5鄰中正路265號,,121.4656546,25.0865429
新北市,蘆洲慈濟靜思堂,蘆洲區,新北市蘆洲區長樂路125號,,121.461848,25.0877363
新北市,樹林文林國小學生活動中心,樹林區,樹林區千歲街59號,,121.4260832,24.9975343
新北市,北大國小,三峽區,三峽區國光街100號,,121.3732293,24.9391245
新北市,新林國民小學活動中心,林口區,林口區三民路101號,,121.3590601,25.0697467
新北市,泰山高中體育館,泰山區,泰山區辭修路7號,,121.4296982,25.0568806
新北市,鶯歌國中(大禮堂),鶯歌區,鶯歌區尖山埔路108號,,121.3448534,24.9504584
