施打站縣市,施打站全稱,施打站行政區,施打站地址,預約電話,施打站經度,施打站緯度
新竹縣,新豐鄉衛生所,新豐鄉,新竹縣新豐鄉重興村萃豐路21號,(03)559-1151,120.9881191,24.8999145
新竹縣,竹東鎮衛生所,竹東鎮,新竹縣竹東鎮中正路221號,(03)594-3566,121.0928911,24.7360038
新竹縣,五峰鄉衛生所,五峰鄉,新竹縣五峰鄉大隘村6鄰99號,(03)585-1005  或 (03)585-1277,121.1192785,24.63166289999999
新竹縣,尖石鄉衛生所,尖石鄉,新竹縣尖石鄉嘉樂村二鄰61號,(03)584-1011,121.2023634,24.7057362
新竹縣,橫山鄉衛生所,橫山鄉,新竹縣橫山鄉大肚村新興街141巷10號,(03)593-2004,121.1399892,24.7180015
新竹縣,峨眉鄉衛生所,峨眉鄉,新竹縣峨眉鄉峨眉村峨眉街2鄰5號,(03)580-0014,121.021415,24.6884901
新竹縣,北埔鄉衛生所,北埔鄉,新竹縣北埔鄉北埔村北埔街90號,(03)580-2304,121.0552902,24.7004444
新竹縣,寶山鄉衛生所,寶山鄉,新竹縣寶山鄉雙溪村雙園路二段273號,(03)520-3054,120.9948465,24.7667858
新竹縣,芎林鄉衛生所,芎林鄉,新竹縣芎林鄉文山路532號,(03)592-4787,121.077627,24.777445
新竹縣,關西鎮衛生所,關西鎮,新竹縣關西鎮中山路207號,(03)587-2335,121.172634,24.7917351
新竹縣,新埔鎮衛生所,新埔鎮,新竹縣新埔鎮中正路758號,(03)588-2017,121.07167,24.8279331
新竹縣,湖口鄉衛生所,湖口鄉,新竹縣湖口鄉中興街36號,(03)599-1654,121.048145,24.9009379
新竹縣,竹信醫院,竹東鎮,新竹縣竹東鎮仁愛路196號,(03)596-2998,121.090935,24.734258
新竹縣,臺北榮民總醫院新竹分院,竹東鎮,新竹縣竹東鎮中豐路一段81號,(03)596-2134 轉 236"03-5962134、 高齡友善預約專線(03) 595-3940、 (03) 595-3948 （下午13:00~16:00）,121.1001722,24.72259649999999
新竹縣,林醫院,竹東鎮,新竹縣竹東鎮東林路76號,(03)596-2316,121.0912839,24.7368726
新竹縣,天主教仁慈醫療財團法人仁慈醫院,湖口鄉,新竹縣湖口鄉忠孝路29號,(03)599-3500轉2133、2135、2153、2154,121.0454746,24.90051519999999
新竹縣,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院竹北院區,竹北市,新竹縣竹北市生醫路一段2號(竹北院區) ,(03)667-7600  分機 531188 或 532821,121.0436944,24.8060562
新竹縣,大安醫院,竹北市,新竹縣竹北市博愛街298巷5號,(03)555-7188 分機177,121.0081372,24.8347547
新竹縣,中國醫藥大學新竹附設醫院,竹北市,新竹縣竹北市興隆路一段199號,(03)558-0558 (03)558-0111,121.0020987,24.8240945
新竹縣,新仁醫院,竹北市,新竹縣竹北市博愛街331號,(03)555-2039,121.0077876,24.8355892
新竹縣,東元醫療社團法人東元綜合醫院,竹北市,302新竹縣竹北市縣政二路69號,(03)552-7000,121.0139579,24.8238051
新竹縣,國立臺灣大學醫學院附設醫院竹東分院,竹東鎮,新竹縣竹東鎮至善路52號,(03)594-3248,121.0936465,24.7187511
新竹縣,德安聯合診所,竹東鎮,新竹縣竹東鎮長春路二段123號,(03)594-7345,121.0867519,24.7396373
新竹縣,張景隆小兒科診所,竹東鎮,新竹縣竹東鎮東峰路52號1樓,(03)594-8399,121.0962891,24.7208963
新竹縣,陽明小兒科耳鼻喉科聯合診所,竹東鎮,新竹縣竹東鎮長春路三段170號,(03)594-2010,121.0837368,24.7435826
新竹縣,張國珍小兒科診所,竹東鎮,新竹縣竹東鎮北興路二段99號,(03)511-1352,121.0924706,24.7396155
新竹縣,崇光小兒專科診所,竹東鎮,新竹縣竹東鎮長春路三段188號1樓,(03)595-9878,121.0833634,24.7440187
新竹縣,謝連中診所,竹北市,新竹縣竹北市光明一路392-1號1樓,03-5586859,121.0124115,24.830991
新竹縣,哈哈親子小兒科診所,竹北市,新竹縣竹北市科大一路30號,03-6570590,121.0080294,24.8220249
新竹縣,啄木鳥耳鼻喉科診所,竹北市,新竹縣竹北市莊敬三路39號1樓,03-6586586,121.0248749,24.822532
新竹縣,竹佑親子診所,竹北市,新竹縣竹北市仁和街七號一樓,03-5512882轉105,121.0345476,24.8118128
新竹縣,惠慎診所,竹北市,新竹縣竹北市光明九路9-15號,03-6571515,121.0130005,24.8234095
新竹縣,陳壽祥小兒科診所,竹北市,新竹縣竹北市光明六路303-2號,03-5535135,121.004747,24.8298959
新竹縣,彭福麒小兒科診所,竹北市,新竹縣竹北市博愛街 376 號,03-5510032,121.0086199,24.8362877
新竹縣,立安親子診所,竹北市,新竹縣竹北市嘉豐南路一段30號1樓,03-6580359,121.0345476,24.8118128
新竹縣,張嘉榮診所,竹北市,新竹縣竹北市光明一路392-1號1樓,03-5586859,121.0088014,24.83229559999999
新竹縣,羅世績診所,新豐鄉,新竹縣新豐鄉建興路一段154-10號,(03)559-3399,120.9944826,24.8748148
新竹縣,正翔診所,新豐鄉,新竹縣新豐鄉建興路二段753號,(03)557-6671,120.9869249,24.8996709
新竹縣,瀚華診所,新豐鄉,新竹縣新豐鄉新市路3號,(03)557-6387,120.9868449,24.8990156
新竹縣,永杏小兒科診所,新豐鄉,新竹縣新豐鄉新興路75號1樓,(03)557-2775,120.9925673,24.8663688
新竹縣,吳家仁小兒科診所,新豐鄉,新竹縣新豐鄉新興路245號,(03)557-5302,120.996706,24.870371
新竹縣,柏安耳鼻喉科診所,竹北市,新竹縣竹北市嘉豐六路一段31號,(03)668-1531,121.032009,24.8135296
新竹縣,翁佩魁小兒科專科診所,竹北市,新竹縣竹北市勝利三街38號,(03)658-9331,121.0265021,24.8232139
新竹縣,育創診所,湖口鄉,新竹縣湖口鄉安宅9街81號,(03)597-7289,121.0248703,24.8668873
新竹縣,艾兒診所,竹北市,新竹縣竹北市福興東路二段140號,(03)658-6699,121.0284108,24.81447219999999
新竹縣,曾文智診所,竹北市,新竹縣竹北市中正西路31號,(03)555-3549,121.002083,24.840078
新竹縣,傅仁良小兒科診所,竹北市,新竹縣竹北市博愛街172號,(03)553-0106,121.0057409,24.832359
新竹縣,瑞麟診所,竹北市,新竹縣竹北市中山路460號,(03)553-6286,121.0112251,24.8386449
新竹縣,游丞顯小兒科診所,竹北市,新竹縣竹北市文興路一段78號,(03)658-3300,121.0252086,24.8119477
新竹縣,麥建方小兒專科診所,竹北市,新竹縣竹北市勝利五路27號,(03)657-7261,121.0250015,24.8246571
新竹縣,洪瑞聰小兒專科診所,竹北市,新竹縣竹北市成功八路100號,(03)667-6287,121.0168907,24.8181352
