施打站縣市,施打站行政區,施打站全稱,接種時間,施打站地址,預約電話,官方預約連結,可預約,疫苗種類
桃園市,桃園區,桃園孕婦疫苗接種專案限桃園市在籍孕婦,預約接種日期7/13 (二)上午0800-1100下午1400-1700,桃園巨蛋體育館 (桃園市桃園區三民路一段1號),需事先網路預約,https://bookvaccine-tycg.surveycake.biz/s/8R0QG,True,['Moderna']
桃園市,平鎮區,平鎮區衛生所,依衛生局網站公告,桃園市平鎮區振興路1號,03-4576624,,False,['Moderna']
桃園市,中壢區,中壢區衛生所,依衛生局網站公告,桃園市中壢區溪洲街296號,03-4352666,,False,"['AZ', 'Moderna']"
桃園市,桃園區,桃園區衛生所,依衛生局網站公告,桃園市桃園區國豐三街123號4樓,03-3791888,,False,"['AZ', 'Moderna']"
桃園市,龍潭區,龍潭區衛生所,依衛生局網站公告,桃園市龍潭區中正路210號,03-4792033,,False,"['AZ', 'Moderna']"
桃園市,大園區,大園區衛生所,依衛生局網站公告,桃園市大園區中正西路19號,03-3862024,,False,['AZ']
桃園市,觀音區,觀音區衛生所,依衛生局網站公告,桃園市觀音區觀音里觀新路58號,03-4732031,,False,['AZ']
桃園市,新屋區,新屋區衛生所,依衛生局網站公告,桃園市新屋區中山路239號,03-4772018,,False,['AZ']
桃園市,大溪區,大溪區衛生所,依衛生局網站公告,桃園市大溪區仁愛路1號,03-3882401,,False,['AZ']
桃園市,蘆竹區,蘆竹區衛生所,依衛生局網站公告,桃園市蘆竹區長安路2段238號,03-3524732,,False,['Moderna']
桃園市,龜山區,龜山區衛生所,依衛生局網站公告,桃園市龜山區自強南路103號,03-3299645,,False,"['AZ', 'Moderna']"
桃園市,八德區,八德區衛生所,依衛生局網站公告,桃園市八德區介壽路二段361巷28號,03-3662781,,False,['AZ']
桃園市,楊梅區,楊梅區衛生所,依衛生局網站公告,桃園市楊梅區校前路409號1樓,03-4750151,,False,['AZ']
桃園市,復興區,復興區衛生所,依衛生局網站公告,桃園市復興區中正路25號,03-3822325,,False,['AZ']
桃園市,龜山區,瑞奕診所,依診所公告,桃園市龜山區文化二路34巷14弄8號1樓,03-3185689,,False,['Moderna']
桃園市,中壢區,佳康診所,依診所公告,桃園市中壢區健行路153號1樓,03-4587188,,False,['Moderna']
桃園市,桃園區,蕭閔誌診所,星期二、三、四、五10點至11點,桃園市桃園區中平路99號1樓,03-2207911,,False,['Moderna']
桃園市,大園區,木子診所,依診所公告,桃園市大園區致遠一路1號1樓,03-2875875,,False,['Moderna']
