施打站縣市,施打站全稱,施打站行政區,施打站地址,預約電話,施打站經度,施打站緯度
澎湖縣,三總澎湖分院,馬公市,880台灣澎湖縣馬公市前寮里90號,06-9211116,119.5833382,23.5547286
澎湖縣,衛生福利部澎湖醫院,馬公市,880台灣澎湖縣馬公市中正路10號,06-9261151,119.5657616,23.5643171
澎湖縣,馬公市第一衛生所,馬公市,880台灣澎湖縣馬公市樹德路36號,06-9273954/06-9273958,119.5670427,23.5689219
澎湖縣,馬公市第二衛生所,馬公市,880台灣澎湖縣馬公市鎖港里240號,06-9951354/06-9951458,119.600866,23.529335
澎湖縣,馬公市第三衛生所,馬公市,880台灣澎湖縣馬公市118之2號,06-9211723,119.5836872,23.5680862
澎湖縣,湖西鄉衛生所,澎湖縣,885台灣澎湖縣湖西鄉151之1號,06-9922635,119.66134,23.583895
澎湖縣,白沙鄉衛生所,白沙鄉,884台灣澎湖縣白沙鄉359號,06-9931044/06-9931545,119.5982395,23.6668034
澎湖縣,西嶼鄉衛生所,西嶼鄉,881台灣澎湖縣西嶼鄉88142澎湖縣西嶼鄉池東村222號,06-9981115/06-9982450/06-9983616,119.510219,23.599305
澎湖縣,望安鄉衛生所,望安鄉,882台灣澎湖縣望安鄉西安村36-7號,06-9991036,119.4974696,23.3618947
澎湖縣,七美鄉衛生所,七美鄉,883台灣澎湖縣七美鄉中和村10鄰54號,06-9971791,119.4308398,23.2041942
澎湖縣,吉貝衛生所,白沙鄉,884台灣澎湖縣白沙鄉,06-9911430,119.610071,23.740119
澎湖縣,鳥嶼衛生所,白沙鄉,884台灣澎湖縣白沙鄉白沙鄉鳥嶼村漁港新村2號,06-9916234,119.660089,23.660017
澎湖縣,將軍衛生所,將軍區,725台灣台南市將軍區忠興185-6號,06-9902066,120.1585495,23.2013882
