_id,施打站全稱（自動）,施打站縣市（自動）,施打站行政區（自動）,施打站地址（自動）,施打站經度（自動）,施打站緯度（自動）,官方提供網址（自動）,預約電話（自動）,實際預約網址（手動）,爬蟲分類（手動）,醫事機構代碼（自動）,是否現在為施打點？（自動）,Last Modified,備註（手動）,預約方式（手動）,是否可以爬蟲（手動）,爬蟲結果（手動）,爬蟲人（手動）,爬蟲程式碼（手動）,開放預約時間（手動）
rec042pWIkM2XYbPz,彰化基督教醫療財團法人漢銘基督教醫院,彰化縣,彰化市,彰化縣彰化市中山路一段366號,120.535784,24.061299,https://hm.cch.org.tw/news_detial.aspx?cID=1&Key=116,04-7113456,https://hm.cch.org.tw/news_detial.aspx?cID=1&Key=116,彰基醫院系列,1137010051,1,2021-07-11T05:50:20.000Z
rec08cD0RKn76Wh13,臺東縣延平鄉衛生所,臺東縣,延平鄉,臺東縣延平鄉桃源村昇平路11號,121.085663,22.902109,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2346120010,089-561040,https://wecanhelp.ttpush.app/reservation?fbclid=IwAR3c5wtfEVVUpbEv2MN7JRTaS-3r_BGOqDsR67Qk_Kn0Uw8bA4V02JjgdcQ,台東縣預約系統系列,2346120010,1,2021-07-11T11:05:50.000Z,"需要驗證身份 by SL",預約系統
rec0AWIzBqlCkyReN,卓醫院,彰化縣,北斗鎮,彰化縣北斗鎮西安里中山路一段311號,120.51554,23.872278,https://docs.google.com/forms/d/e/1FAIpQLSdpYfIuWqdcQ295WbggrKmRa9fZUlBUNQmZEvt6pwV9yqYmXg/viewform,04-8882995,,,1537040066,1,2021-07-11T05:50:20.000Z,"無法找到任何資料
",
rec0FuMJbi7riIuKY,衛生福利部雙和醫院(委託臺北醫學大學興建經營),新北市,中和區,新北市中和區中正路291號,121.494082,24.993746,"https://www.shh.org.tw/page/ShhregVaccine.aspx
",02-22490088,https://www.shh.org.tw/page/ShhregVaccine.aspx,北醫系列,1331040513,1,2021-07-11T11:05:50.000Z,,掛號系統
rec0GpEaNU2mmptpo,東港靜思堂(東港衛生所站),屏東縣,東港鎮,928台灣屏東縣東港鎮,120.4634753,22.471462,,"08 832 5310",,,,,2021-07-11T15:18:58.000Z,各縣市資料,
rec0HMofu1o1WZTxb,衛生福利部臺南醫院,臺南市,中西區,臺南市中西區中山路125號,120.209228,22.995819,https://tnweb.tnhosp.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0172&Date=&Noon=,06-2200055,https://tnweb.tnhosp.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0172&Date=&Noon=,衛福部系列,0121050011,1,2021-07-11T05:50:20.000Z,,
rec0QJBR8Zjms9P8i,黃浩魁小兒科診所,臺北市,北投區,臺北市北投區中央北路一段168號,121.49833745179,25.135650486193,,02-2898-3256,,,,,2021-07-11T15:19:46.000Z,各縣市資料,
rec0SV5DD2TnHJyJV,新園國中體育館(新園衛生所站),屏東縣,新園鄉,932台灣屏東縣新園鄉仙吉村仙吉路111號,120.4613993,22.5452661,,"08 868 1020",,,,,2021-07-11T15:18:58.000Z,各縣市資料,
rec0Vmy9mxqJ4MKhI,國立臺灣大學醫學院附設醫院金山分院,新北市,金山區,新北市金山區五湖里玉爐路7號,121.628344,25.219469,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0431270012,02-24989898,https://reg.ntuh.gov.tw/WebAdministration/VaccineClinicReg.aspx?Hosp=T3&Reg=,台大醫院系列,0431270012,1,2021-07-11T11:05:50.000Z,,掛號系統,是
rec0ZOAK0Ix7zSW6L,臺南市新化區衛生所,臺南市,新化區,臺南市新化區健康路十三鄰143號,120.304781,23.034398,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2341060019,06-5905398,,,2341060019,1,2021-07-11T05:50:20.000Z,"沒有線上的預約方式 by SL",,
rec0cg9bc9GxXY6kq,臺東縣太麻里鄉衛生所,臺東縣,太麻里鄉,臺東縣太麻里鄉泰和村2鄰民權路66號,121.007423,22.615376,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2346060019,089-781220,https://wecanhelp.ttpush.app/reservation?fbclid=IwAR3c5wtfEVVUpbEv2MN7JRTaS-3r_BGOqDsR67Qk_Kn0Uw8bA4V02JjgdcQ,台東縣預約系統系列,2346060019,1,2021-07-11T11:05:50.000Z,"需要驗證身份 by SL",預約系統,
rec0fqgvkgd0QEUj7,建順診所,臺北市,大同區,台北市大同區甘州街51號,121.5128537206,25.059676731877,,02-2557-3251,,,,,2021-07-11T15:19:17.000Z,各縣市資料,,
rec0gCYrs2IxfPq9U,林獻諒診所,臺南市,永康區,台南市永康區中華路347號,,,,06-3134761,,,,,2021-07-11T15:22:25.000Z,各縣市資料,,
rec0gv8krCj5E96KD,秀傳醫療財團法人彰濱秀傳紀念醫院,彰化縣,鹿港鎮,彰化縣鹿港鎮鹿工路6號、6－2號,120.41112,24.078274,https://www.cbshow.org.tw/changbin/RegCal.aspx?Dept=MM&Kind=2,04-7813888,https://www.cbshow.org.tw/changbin/RegCal.aspx?Dept=MM&Kind=2,秀傳系列,1137020511,1,2021-07-11T05:50:20.000Z,,,
rec0r0eqdYRudEb8B,朱嘉生診所,臺南市,安南區,台南市安南區安中路六段620號,,,,06-2573180,,,,,2021-07-11T15:22:40.000Z,各縣市資料,,
rec0x7zrZpZZFXjRN,陳勃旭耳鼻喉科診所,臺南市,東區,台南市東區崇善路438號,,,,06-3358868,,,,,2021-07-11T15:22:47.000Z,各縣市資料,,
